Horror Wiki Index,char index,actor,character,stripped character,killed
793,16,Mocking Bird,Crazy Dave,crazy dave,False
868,0,Chuck Hittinger,David,david,True
868,1,Erin Cahill,Sarah,sarah,True
868,2,George Maguire,Jeremy,jeremy,True
868,3,Mimi Michaels,Lindsay,lindsay,True
868,4,WB Alexander,Lukas,lukas,True
868,5,Matt Rippy,Roger Kane,roger kane,True
868,6,Nikki Sanderson,Audrey Allen,audrey allen,True
868,7,Elyes Gabel,Ben,ben,True
868,8,Galina Talkington,Katie,katie,False
868,9,Jayne Wisener,Amy,amy,True
868,10,Nikolai Sotirov and Vladimir Yossifov,Boogeyman,boogeyman,False
613,0,Kim Director,Kim Diamond,kim diamond,False
613,1,Jeffrey Donovan,Jeffrey Patterson,jeffrey patterson,False
613,2,Erica Leerhsen,Erica Geerson,erica geerson,True
613,3,Tristine Skyler,Tristen Ryler,tristen ryler,True
613,4,Stephen Barker Turner,Stephen Ryan Parker,stephen ryan parker,False
613,5,Lanny Flaherty,Sheriff Ronald Cravens,sheriff ronald cravens,False
613,6,Kenned Sisco,Peggy,peggy,False
1100,0,Lauren Cohan,Greta Evans,greta evans,N/A
1100,1,Rupert Evans,Malcolm,malcolm,N/A
1100,2,Jim Norton,Mr. Heelshire,mr heelshire,N/A
1100,3,Diana Hardcastle,Mrs. Heelshire,mrs heelshire,N/A
1100,4,Ben Robson,Cole,cole,N/A
1100,5,James Russell,Adult Brahms,adult brahms,N/A
1100,6,Jett Klyne,Young Brahms,young brahms,N/A
390,0,David Gale,Dr. Anthony Blakely,dr anthony blakely,N/A
390,1,Tom Bresnahan,Jim Majelewski,jim majelewski,N/A
390,2,Cynthia Preston,Janet,janet,N/A
390,3,George Buza,Varna,varna,N/A
390,4,Brett Pearson,Willie,willie,N/A
390,5,Sarah Chapple,Debbie Hodges,debbie hodges,N/A
390,6,Christine Kossak,Vivian,vivian,N/A
362,0,Rick Hearst,Brian,brian,False
362,1,Gordon MacDonald,Mike,mike,False
362,2,Jennifer Lowry,Barbara,barbara,True
362,3,Theo Barnes,Morris,morris,True
362,4,Lucille Saint-Peter,Martha,martha,True
362,5,Vicki Darnell,Blonde in Hell,blonde in hell,False
362,6,Joseph Gonzalez,Guy in shower,guy in shower,False
362,7,Bradlee Rhodes,Night watchman,night watchman,False
479,0,Timothy Balme,Lionel Cosgrove,lionel cosgrove,N/A
479,1,Diana Peñalver,Paquita Maria Sanchez,paquita maria sanchez,N/A
479,2,Elizabeth Moody,Vera Cosgrove Lionel's mother,vera cosgrove lionels mother,N/A
479,3,Ian Watkin,Uncle Les Kalkon Vera's brother,uncle les kalkon veras brother,N/A
479,4,Brenda Kendall,Nurse Emma Mc Tavish,nurse emma mc tavish,N/A
479,5,Stuart Devenie,Father Jon McGruder,father jon mcgruder,N/A
479,6,Jed Brophy,"Thomas Jacob ""Void"" Randell",thomas jacob void randell,N/A
479,7,Stephen Pappd,Zombie Jon McGruder,zombie jon mcgruder,N/A
