Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
705,3,Clea DuVall,Jennifer Williams,jennifer williams,True,http://www.nndb.com/people/613/000044481/,White,Female
705,4,KaDee Strickland,Susan Williams,susan williams,True,http://www.nndb.com/people/804/000345766/,White,Female
705,5,Grace Zabriskie,Emma Williams,emma williams,True,http://www.nndb.com/people/146/000043017/,White,Female
705,6,Ted Raimi,Alex,alex,True,http://www.nndb.com/people/050/000130657/,White,Male
1239,0,Andrea Riseborough,Detective Muldoon,detective muldoon,,,White,Female
1239,1,Demián Bichir,Detective Goodman,detective goodman,,http://www.nndb.com/people/111/000347067/,Hispanic,Male
1239,2,John Cho,Peter Spencer,peter spencer,,http://www.nndb.com/people/397/000109070/,Asian/Indian,Male
1239,3,Betty Gilpin,Nina Spencer,nina spencer,,,Unlisted,Unlisted
1239,4,Lin Shaye,Faith Matheson,faith matheson,,,White,Female
1239,5,Jacki Weaver,Lorna Moody,lorna moody,,http://www.nndb.com/people/939/000366838/,White,Female
1239,6,Frankie Faison,William Matheson,william matheson,,http://www.nndb.com/people/972/000050822/,Black,Male
1239,7,William Sadler,Detective Wilson,detective wilson,,http://www.nndb.com/people/089/000130696/,White,Male
1239,8,Tara Westwood,Fiona Landers,fiona landers,,,Unlisted,Unlisted
1171,0,Jamie Lee Curtis,Laurie Strode,laurie strode,False,http://www.nndb.com/people/749/000023680/,White,Female
1171,1,Judy Greer,Karen Nelson,karen nelson,False,http://www.nndb.com/people/631/000047490/,White,Female
1171,2,Andi Matichak,Allyson Nelson,allyson nelson,False,,Unlisted,Unlisted
1171,3,James Jude Courtney,The Shape,shape,False,,Unlisted,Unlisted
1171,4,Nick Castle,The Shape,shape,False,http://www.nndb.com/people/401/000173879/,White,Male
1171,5,Haluk Bilginer,Dr. Ranbir Sartain,dr ranbir sartain,True,,White,Male
1171,6,Will Patton,Frank Hawkins,frank hawkins,True,http://www.nndb.com/people/450/000110120/,White,Male
1171,7,Rhian Rees,Dana Haines,dana haines,True,,Unlisted,Unlisted
1171,8,Jefferson Hall,Aaron Korey,aaron korey,True,,White,Male
1171,9,Virginia Gardner,Vicky,vicky,True,,Unlisted,Unlisted
1171,10,Miles Robbins,Dave,dave,True,,White,Male
1171,11,Dylan Arnold,Cameron Elam,cameron elam,False,,Unlisted,Unlisted
1171,12,Drew Scheid,Oscar,oscar,True,,Unlisted,Unlisted
1171,13,Omar J. Dorsey,Sheriff Barker,sheriff barker,False,,White,Male
1171,14,Rob Niter,Deputy Sheriff Walker,deputy sheriff walker,False,,Unlisted,Unlisted
1171,15,Toby Huss,Ray Nelson,ray nelson,True,http://www.nndb.com/people/285/000089018/,White,Male
1171,16,Jefferson Hall,Martin,martin,False,,White,Male
1171,17,Jibrail Nantambu,Julian,julian,False,,Unlisted,Unlisted
115,0,Donald Pleasence,Dr. Samuel Loomis,dr samuel loomis,False,http://www.nndb.com/people/611/000032515/,White,Male
115,1,Jamie Lee Curtis,Laurie Strode,laurie strode,False,http://www.nndb.com/people/749/000023680/,White,Female
115,2,Nancy Kyes,Annie Brackett,annie brackett,True,,Unlisted,Unlisted
115,3,P. J.  Soles,Lynda van der Klok,lynda van der klok,True,,Unlisted,Unlisted
115,4,Charles Cyphers,Sheriff Leigh Brackett,sheriff leigh brackett,False,http://www.nndb.com/people/042/000353977/,White,Male
115,5,Kyle Richards,Lindsey Wallace,lindsey wallace,False,http://www.nndb.com/people/781/000160301/,White,Female
115,6,Brian Andrews,Tommy Doyle,tommy doyle,False,,Unlisted,Unlisted
115,7,John Michael Graham,Bob Simms,bob simms,True,,Unlisted,Unlisted
