,name,gender,race
800,Jason Shoemaker,Male,White
801,Barak Shpiez,Male,Hispanic
802,Michael K. Sieg,Male,White
803,Aaron Smith,Male,White
804,Colin Snyder,Male,White
805,Steven T Stanton,Male,White
806,Adam Storey,Male,White
807,Tom Struthers,Male,White
808,Kevin Tanski,Male,White
809,Matthew Thane,Male,White
810,Nathan Todd,Male,White
811,TyLean Tuijl,Other,White
812,Thomas Tull,Male,White
813,Craig Usiak,Male,White
814,Graciela Valderrama,Female,Hispanic
815,Michelle Vezzani,Female,White
816,Barbara Vincent,Female,White
817,Ming Wang,Male,Asian
818,Michael O. Watkins,Male,White
819,Graig F. Weich,Male,White
820,Lawrence Whitener,Male,White
821,Erin Wilson,Female,White
822,Jason Yee,Male,Asian
823,Nikolay Yeriomin,Male,White
824,Billy Zhao,Male,Asian
825,John Zion,Male,White
826,Rafael Zubizarreta,Male,Hispanic
827,Doug Walker,Male,White
828,Rob Walker,Male,White
831,Thomas Haden Church,Male,White
832,Ciar\xc3\xa1n Hinds,Other,White
833,James Purefoy,Male,White
835,Arkie Reece,Other,White
836,Pippa Nixon,Female,White
837,Philip Philmar,Male,White
838,Emily Tierney,Female,White
839,Rupert Frazer,Male,White
840,Kyle Agnew,Female,White
841,Josh Daugherty,Male,White
842,Sean Carrigan,Male,White
843,Christopher Goodman,Male,White
844,Akima,Other,Asian
845,Aldred Montoya,Male,Hispanic
847,Ian Ray,Male,White
848,Evelyn Dubuc,Female,White
849,Daniel OMeara,Male,White
850,Oliver Boot,Male,White
851,Philip Arditti,Male,White
852,Art Malik,Male,Asian/Indian
853,Gary Milner,Male,White
854,Darwin Shaw,Male,White
855,Simon Evans,Male,White
856,Steven Cree,Male,White
857,Jeremy Booth,Male,White
858,Mehran Armando,Male,White
859,Johnny Yong Bosch,Male,White
860,Chlo\xc3\xa9 Bruce,Other,White
861,Ben Champniss,Male,White
862,Shane B. Cook,Male,White
863,Hasan Dixon,Male,White
864,Guinevere Edwards,Female,White
865,Annette Georgiou,Female,White
866,Walles Hamonde,Other,White
867,Matt Lasky,Male,White
868,Morgan Lester,Male,White
