Horror Wiki Index,Title,Year,Horror Wiki URL,Stripped Title
589,Children of the Corn 666: Isaac's Return (1999),1999,/wiki/Children_of_the_Corn_666:_Isaac%27s_Return_(1999),children of corn 666 isaacs return
939,Children of the Corn: Genesis (2011),2011,/wiki/Children_of_the_Corn:_Genesis_(2011),children of corn genesis
483,Children of the Corn II: The Final Sacrifice (1992),1992,/wiki/Children_of_the_Corn_II:_The_Final_Sacrifice_(1992),children of corn ii final sacrifice
520,Children of the Corn III: Urban Harvest (1995),1995,/wiki/Children_of_the_Corn_III:_Urban_Harvest_(1995),children of corn iii urban harvest
536,Children of the Corn IV: The Gathering (1996),1996,/wiki/Children_of_the_Corn_IV:_The_Gathering_(1996),children of corn iv gathering
627,Children of the Corn: Revelation (2001),2001,/wiki/Children_of_the_Corn:_Revelation_(2001),children of corn revelation
572,Children of the Corn V: Fields of Terror (1998),1998,/wiki/Children_of_the_Corn_V:_Fields_of_Terror_(1998),children of corn v fields of terror
20,Children Shouldn't Play with Dead Things (1972),1972,/wiki/Children_Shouldn%27t_Play_with_Dead_Things_(1972),children shouldnt play with dead things
364,Child's Play (1988),1988,/wiki/Child%27s_Play_(1988),childs play
1201,Child's Play (2019),2019,/wiki/Child%27s_Play_(2019),childs play
431,Child's Play 2 (1990),1990,/wiki/Child%27s_Play_2_(1990),childs play 2
460,Child's Play 3 (1991),1991,/wiki/Child%27s_Play_3_(1991),childs play 3
298,Chopping Mall (1986),1986,/wiki/Chopping_Mall_(1986),chopping mall
57,Chosen Survivors (1974),1974,/wiki/Chosen_Survivors_(1974),chosen survivors
244,Christine (1983),1983,/wiki/Christine_(1983),christine
155,Christmas Evil (1980),1980,/wiki/Christmas_Evil_(1980),christmas evil
1074,Christmas Slay (2015),2015,/wiki/Christmas_Slay_(2015),christmas slay
797,Chupacabra (2007),2007,/wiki/Chupacabra_(2007),chupacabra
397,The Church (1989),1989,/wiki/The_Church_(1989),church
156,City of the Living Dead (1980),1980,/wiki/City_of_the_Living_Dead_(1980),city of living dead
840,Cloverfield (2008),2008,/wiki/Cloverfield_(2008),cloverfield
1045,Clown (2014),2014,/wiki/Clown_(2014),clown
398,Clownhouse (1989),1989,/wiki/Clownhouse_(1989),clownhouse
752,Cold Prey (2006),2006,/wiki/Cold_Prey_(2006),cold prey
841,Cold Prey 2: Resurrection (2008),2008,/wiki/Cold_Prey_2:_Resurrection_(2008),cold prey 2 resurrection
911,Cold Prey 3: The Beginning (2010),2010,/wiki/Cold_Prey_3:_The_Beginning_(2010),cold prey 3 beginning
976,The Collection (2012),2012,/wiki/The_Collection_(2012),collection
871,The Collector (2009),2009,/wiki/The_Collector_(2009),collector
1018,The Colony (2013),2013,/wiki/The_Colony_(2013),colony
1102,Colossal (2016),2016,/wiki/Colossal_(2016),colossal
112,Coma (1978),1978,/wiki/Coma_(1978),coma
265,The Company of Wolves (1984),1984,/wiki/The_Company_of_Wolves_(1984),company of wolves
1019,The Conjuring (2013),2013,/wiki/The_Conjuring_(2013),conjuring
1103,The Conjuring 2 (2016),2016,/wiki/The_Conjuring_2_(2016),conjuring 2
157,Contamination,1980,/wiki/Contamination,contamination
1020,Contracted (2013),2013,/wiki/Contracted_(2013),contracted
1075,Cooties (2014),2015,/wiki/Cooties_(2014),cooties
872,Coraline (2009),2009,/wiki/Coraline_(2009),coraline
1227,Corona Zombies,2020,/wiki/Corona_Zombies,corona zombies
710,Corpse Bride (2005),2005,/wiki/Corpse_Bride_(2005),corpse bride
1202,Countdown (2019),2019,/wiki/Countdown_(2019),countdown
931,The Crazies (2010),2010,/wiki/The_Crazies_(2010),crazies
33,The Crazies (1973),1973,/wiki/The_Crazies_(1973),crazies
279,Creature (1985),1985,/wiki/Creature_(1985),creature
83,Creature from Black Lake (1976),1976,/wiki/Creature_from_Black_Lake_(1976),creature from black lake
506,Creatures from the Abyss (1994),1994,/wiki/Creatures_from_the_Abyss_(1994),creatures from abyss
687,Creep (2004),2004,/wiki/Creep_(2004),creep
44,The Creeping Flesh,1973,/wiki/The_Creeping_Flesh,creeping flesh
331,Creepozoids,1987,/wiki/Creepozoids,creepozoids
223,Creepshow (1982),1982,/wiki/Creepshow_(1982),creepshow
332,Creepshow 2 (1987),1987,/wiki/Creepshow_2_(1987),creepshow 2
753,Creepshow III (2006),2006,/wiki/Creepshow_III_(2006),creepshow iii
1076,Crimson Peak (2015),2015,/wiki/Crimson_Peak_(2015),crimson peak
299,Critters (1986),1986,/wiki/Critters_(1986),critters
365,Critters 2: The Main Course (1988),1988,/wiki/Critters_2:_The_Main_Course_(1988),critters 2 main course
461,Critters 3 (1991),1991,/wiki/Critters_3_(1991),critters 3
484,Critters 4 (1992),1992,/wiki/Critters_4_(1992),critters 4
615,Crocodile (2000),2000,/wiki/Crocodile_(2000),crocodile
136,Crocodile (1979),1979,/wiki/Crocodile_(1979),crocodile
1203,Cruel Peter,2019,/wiki/Cruel_Peter,cruel peter
711,Cry Wolf (2005),2005,/wiki/Cry_Wolf_(2005),cry wolf
552,Cube (1997),1997,/wiki/Cube_(1997),cube
245,Cujo (1983),1983,/wiki/Cujo_(1983),cujo
1136,Cult of Chucky (2017),2017,/wiki/Cult_of_Chucky_(2017),cult of chucky
355,The Curse,1987,/wiki/The_Curse,curse
1021,Curse of Chucky (2013),2013,/wiki/Curse_of_Chucky_(2013),curse of chucky
1216,The Curse of La Llorona (2019),2019,/wiki/The_Curse_of_La_Llorona_(2019),curse of la llorona
573,Curse of the Puppet Master (1998),1998,/wiki/Curse_of_the_Puppet_Master_(1998),curse of puppet master
712,Cursed (2005),2005,/wiki/Cursed_(2005),cursed
628,Dagon (2001),2001,/wiki/Dagon_(2001),dagon
649,Dahmer (2002),2002,/wiki/Dahmer_(2002),dahmer
1104,Dam Sharks (2016),2016,/wiki/Dam_Sharks_(2016),dam sharks
113,Damien: Omen II (1978),1978,/wiki/Damien:_Omen_II_(1978),damien omen ii
873,Damned by Dawn,2009,/wiki/Damned_by_Dawn,damned by dawn
739,The Dark,2005,/wiki/The_Dark,dark
842,Dark Floors (2008),2008,/wiki/Dark_Floors_(2008),dark floors
1046,Dark House (2014),2014,/wiki/Dark_House_(2014),dark house
187,Dark Night of the Scarecrow (1981),1981,/wiki/Dark_Night_of_the_Scarecrow_(1981),dark night of scarecrow
977,Dark Shadows (2012),2012,/wiki/Dark_Shadows_(2012),dark shadows
1157,The Dark Tower,2017,/wiki/The_Dark_Tower,dark tower
713,Dark Water (2005),2005,/wiki/Dark_Water_(2005),dark water
669,Darkness Falls (2003),2003,/wiki/Darkness_Falls_(2003),darkness falls
114,Dawn of the Dead (1978),1978,/wiki/Dawn_of_the_Dead_(1978),dawn of dead
688,Dawn of the Dead (2004),2004,/wiki/Dawn_of_the_Dead_(2004),dawn of dead
96,Day of the Animals (1977),1977,/wiki/Day_of_the_Animals_(1977),day of animals
280,Day of the Dead (1985),1985,/wiki/Day_of_the_Dead_(1985),day of dead
246,De Lift (1983),1983,/wiki/De_Lift_(1983),de lift
900,The Dead,2009,/wiki/The_Dead,dead
1035,The Dead 2: India,2013,/wiki/The_Dead_2:_India,dead 2 india
689,Dead Birds (2004),2004,/wiki/Dead_Birds_(2004),dead birds
188,Dead & Buried (1981),1981,/wiki/Dead_%26_Buried_(1981),dead buried
1067,The Dead the Damned and the Darkness,2014,/wiki/The_Dead_the_Damned_and_the_Darkness,dead damned and darkness
843,Dead Fury,2008,/wiki/Dead_Fury,dead fury
366,Dead Heat,1988,/wiki/Dead_Heat,dead heat
367,Dead Ringers (1988),1988,/wiki/Dead_Ringers_(1988),dead ringers
798,Dead Silence (2007),2007,/wiki/Dead_Silence_(2007),dead silence
874,Dead Snow (2009),2009,/wiki/Dead_Snow_(2009),dead snow
1047,Dead Snow 2: Red vs. Dead (2014),2014,/wiki/Dead_Snow_2:_Red_vs._Dead_(2014),dead snow 2 red vs dead
247,The Dead Zone (1983),1983,/wiki/The_Dead_Zone_(1983),dead zone
189,Deadly Blessing,1981,/wiki/Deadly_Blessing,deadly blessing
224,Deadly Eyes (1982),1982,/wiki/Deadly_Eyes_(1982),deadly eyes
300,Deadly Friend (1986),1986,/wiki/Deadly_Friend_(1986),deadly friend
